"report-file-0"
"Iteration" "mass_in etc.."
("Iteration" "mass_in" "mass-balance" "pressure_min")
1 3.716127959866456 3.570403768332733 380139.1599458422
2 3.732674116615614 3.572698106635242 380142.2305891459
3 3.724052419934873 3.551088703776636 380145.2606299816
4 3.69458331226532 3.509773416393806 380147.7347064819
5 3.649952380084402 3.45428410705804 380149.7381038884
6 3.591712207854713 3.385999219972768 380151.3512498343
7 3.519396756471365 3.304283870063036 380152.6319348101
8 3.431148928307288 3.207130318368167 380153.6240498271
9 3.325372484485673 3.092816061882364 380154.3772089531
10 3.199894163885265 2.959065607391933 380154.9228054105
11 3.052416550956877 2.803499902684615 380155.2964143289
12 2.880597517422529 2.623714398468569 380155.5296874199
13 2.682498435557609 2.417723860530592 380155.6514816306
14 2.45668346205969 2.184058693692463 380155.6875679063
15 2.202061120086471 1.921603410678543 380155.6601735625
16 1.918021889043384 1.629731618949056 380155.5881100516
17 1.604961460237964 1.308827672431734 380155.487125225
18 1.263123333739011 0.9591273477436588 380155.3696598013
19 0.889392392697312 0.5775107985765962 380155.2458113673
20 0.4813142717872722 0.1615207451213592 380155.1233727126
21 0.0280955473932167 -0.2996376520992809 380155.0082544009
22 -0.4464502227490004 -0.7821512418159164 380154.9049426597
23 -0.7672981954484895 -1.110994862540057 380154.816456519
24 -0.953176932369559 -1.304896413357215 380154.7453378291
25 -1.076912023676058 -1.436680445945592 380154.6934462384
26 -1.170820479334575 -1.538659803612924 380154.6620209953
27 -1.246227586910342 -1.622126576164533 380154.6508851122
28 -1.307043031942687 -1.690985700739186 380154.6608543232
29 -1.357766212034238 -1.74974279412037 380154.6921861592
30 -1.396246842561397 -1.79625368080084 368692.568795924
31 -1.42214766632249 -1.83018638181201 351388.4952650053
32 -1.434854383093629 -1.850931182877334 332931.1184667625
33 -1.433931250640747 -1.858056491368092 317790.0156359285
34 -1.418993608573055 -1.851181516322913 305388.3954040449
35 -1.389985174307576 -1.830253538642573 295033.3053581616
36 -1.34680371679636 -1.795173794969106 286012.7294554716
37 -1.298938121312364 -1.755448693679984 277047.2121607532
38 -1.231993607285569 -1.696643941108946 268226.067365642
39 -1.16069556622611 -1.633541758466617 259031.9412696738
40 -1.081987636695844 -1.563050873816308 249833.2582616677
41 -0.9844724799732895 -1.473786425972183 240832.7409737085
42 -0.8829007008607557 -1.38050302380374 232299.430658053
43 -0.7738405684647487 -1.279772073429876 224131.4975383282
44 -0.6561140015663491 -1.170418608289239 216242.3638970667
45 -0.5332733128263821 -1.055997704789556 208669.7263574593
46 -0.4058456883691386 -0.9370393226928558 201432.4109166961
47 -0.2730373434690997 -0.81275248122803 194360.3375609016
48 -0.1361950874523961 -0.6844868660782596 187921.8707892472
49 0.003164092525968473 -0.5537621572457754 182017.1340814874
50 0.1382471867597739 -0.4273738792273275 176575.7613562109
51 0.251960134061075 -0.3224190497194191 171105.901569289
52 0.3367398333109418 -0.2464627804385864 165858.0194226845
53 0.3967240540857275 -0.1953699910787714 160717.9354018223
54 0.4405219935459818 -0.1605338299733314 155664.1302511735
55 0.4739012181494441 -0.1361886480043944 150770.3928942975
56 0.4987267365331691 -0.1204698890668703 146077.8238064656
57 0.5207143370454627 -0.1076657779276383 141329.0895308324
58 0.5352384279519689 -0.1023990583925307 136360.1507131988
59 0.5479838578138949 -0.09898411575355015 131199.7705896091
60 0.5581399686546837 -0.09823496145837507 126021.0259740236
61 0.5665453120863414 -0.09931691667407216 120763.0202652209
62 0.5736738371475185 -0.1017598469695157 115410.5446565616
63 0.5797747860484767 -0.1053183590791698 110243.5420444301
64 0.5851061394835727 -0.1097380078868758 105305.0356887105
65 0.5898017475541015 -0.1148891174210392 100491.3864906901
66 0.5938209775212462 -0.120816394013456 95785.28914847788
67 0.5973980853408802 -0.1272892333460998 91239.93137856785
68 0.600508074980958 -0.1343376576494464 86884.96419712331
69 0.6030336768213534 -0.1420845101627102 82423.8513068442
70 0.6049585688017369 -0.1505500015716765 78266.49703934255
71 0.6076265772019561 -0.15839705651092 74283.39038891639
72 0.6084499121649091 -0.1682193949514825 70240.50802656727
73 0.6086283005360974 -0.1788249103824879 66309.92790926296
74 0.608080723013797 -0.1903032527215904 62452.67869013977
75 0.6067302910355492 -0.2027438545077512 58786.42517579725
76 0.6045315703806592 -0.2162026862017782 55090.29040577933
